timestamp,split,num_frame_refs,frame_references,is_t0,storms,era5_availability,extraction_status
1998-10-06T12:00:00Z,TRAIN,1,data/interim/gridsat/1998/gridsat_1998.10.06.12.npz,False,NIO_1998_UNNAMED_31,AVAILABLE,PENDING
1998-10-06T15:00:00Z,TRAIN,1,data/interim/gridsat/1998/gridsat_1998.10.06.15.npz,False,NIO_1998_UNNAMED_31,AVAILABLE,PENDING
1998-10-06T18:00:00Z,TRAIN,1,data/interim/gridsat/1998/gridsat_1998.10.06.18.npz,False,NIO_1998_UNNAMED_31,AVAILABLE,PENDING
1998-10-06T21:00:00Z,TRAIN,1,data/interim/gridsat/1998/gridsat_1998.10.06.21.npz,False,NIO_1998_UNNAMED_31,AVAILABLE,PENDING
1998-10-07T00:00:00Z,TRAIN,1,data/interim/gridsat/1998/gridsat_1998.10.07.00.npz,False,NIO_1998_UNNAMED_31,AVAILABLE,PENDING
1998-10-07T03:00:00Z,TRAIN,1,data/interim/gridsat/1998/gridsat_1998.10.07.03.npz,True,NIO_1998_UNNAMED_31,AVAILABLE,PENDING
1999-01-31T12:00:00Z,TRAIN,1,data/interim/gridsat/1999/gridsat_1999.01.31.12.npz,False,NIO_1999_UNNAMED_13,AVAILABLE,PENDING
1999-01-31T15:00:00Z,TRAIN,1,data/interim/gridsat/1999/gridsat_1999.01.31.15.npz,False,NIO_1999_UNNAMED_13,AVAILABLE,PENDING
1999-01-31T18:00:00Z,TRAIN,1,data/interim/gridsat/1999/gridsat_1999.01.31.18.npz,False,NIO_1999_UNNAMED_13,AVAILABLE,PENDING
1999-01-31T21:00:00Z,TRAIN,1,data/interim/gridsat/1999/gridsat_1999.01.31.21.npz,False,NIO_1999_UNNAMED_13,AVAILABLE,PENDING
1999-02-01T00:00:00Z,TRAIN,1,data/interim/gridsat/1999/gridsat_1999.02.01.00.npz,False,NIO_1999_UNNAMED_13,AVAILABLE,PENDING
1999-02-01T03:00:00Z,TRAIN,1,data/interim/gridsat/1999/gridsat_1999.02.01.03.npz,True,NIO_1999_UNNAMED_13,AVAILABLE,PENDING
2002-11-09T21:00:00Z,TRAIN,1,data/interim/gridsat/2002/gridsat_2002.11.09.21.npz,False,NIO_2002_UNNAMED_25,AVAILABLE,PENDING
